epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,331.474,1.22594,2.02951,1.50288,0.59021,0.5188,0.50233,0.31662,1.25927,1.23516,1.57556,0.00998363,0.00332788,0.00998363,0.00332788,0.00998363,0.00332788,0.00998363,0.00332788
2,599.814,1.18896,1.43455,1.42123,0.60017,0.43712,0.4526,0.26642,1.41874,1.61057,1.76961,0.019701,0.006567,0.019701,0.006567,0.019701,0.006567,0.019701,0.006567
3,847.161,1.2975,1.61239,1.50358,0.47957,0.4266,0.42747,0.24202,1.51991,1.54967,1.89403,0.0291355,0.00971184,0.0291355,0.00971184,0.0291355,0.00971184,0.0291355,0.00971184
4,1089.92,1.3559,1.70861,1.55261,0.62048,0.43509,0.44368,0.27054,1.42572,1.46752,1.7336,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,1331.82,1.31225,1.58853,1.51531,0.66463,0.51476,0.52116,0.33153,1.31969,1.21047,1.66161,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,1571.89,1.25737,1.46339,1.4749,0.77616,0.48523,0.53291,0.33088,1.28095,1.18251,1.59255,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,1811.27,1.22404,1.39718,1.45408,0.55794,0.55117,0.52657,0.33438,1.24803,1.16444,1.58209,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,2050.37,1.19434,1.33215,1.42906,0.76875,0.5342,0.57063,0.36718,1.242,1.05139,1.58283,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,2290.43,1.17406,1.28847,1.41733,0.57005,0.57805,0.54618,0.35116,1.215,1.14733,1.55484,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,2529.85,1.15395,1.24457,1.40237,0.62396,0.58194,0.58473,0.38834,1.17134,1.00643,1.50924,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,2772.46,1.13162,1.19065,1.38593,0.77268,0.52287,0.58567,0.38653,1.14191,0.97893,1.47761,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,3010.73,1.11374,1.15892,1.37173,0.74747,0.57201,0.59268,0.38825,1.17016,0.9493,1.5241,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,3248.28,1.09825,1.12732,1.36252,0.65692,0.60072,0.58938,0.39707,1.13981,0.97069,1.48509,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,3488.53,1.08336,1.10891,1.35389,0.69636,0.57852,0.60762,0.4132,1.11931,0.93386,1.45687,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,3728.12,1.07168,1.0692,1.34183,0.52887,0.61031,0.60644,0.41038,1.12535,0.94373,1.47405,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,3967.24,1.05514,1.03933,1.33111,0.64604,0.61911,0.62498,0.42202,1.10188,0.89371,1.44339,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,4206.6,1.042,1.03262,1.32352,0.57002,0.60574,0.61928,0.41517,1.10258,0.88598,1.4401,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,4444.39,1.03113,1.00544,1.31253,0.57137,0.6484,0.62005,0.42114,1.08552,0.86819,1.42772,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,4684.18,1.02698,0.98557,1.30469,0.60828,0.63056,0.6381,0.43554,1.08284,0.84724,1.43085,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,4923.18,1.02583,0.97316,1.30616,0.71492,0.61942,0.63553,0.4323,1.09614,0.87536,1.44442,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,5158.11,1.01027,0.96407,1.29813,0.58909,0.64931,0.6389,0.43103,1.08947,0.84694,1.42473,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,5394.45,0.99741,0.93692,1.28681,0.57449,0.65843,0.64491,0.44023,1.08368,0.83138,1.40892,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,5630.04,0.98321,0.92075,1.28137,0.65739,0.61959,0.64947,0.4493,1.05245,0.81231,1.39093,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,5866.38,0.97724,0.91065,1.27846,0.57897,0.6553,0.65455,0.44757,1.07879,0.81602,1.40371,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,272.566,0.96766,0.89356,1.26749,0.66471,0.61503,0.66458,0.45519,1.05326,0.78773,1.38881,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,527.862,0.9665,0.88188,1.26365,0.62318,0.62932,0.65713,0.44933,1.06672,0.79375,1.39453,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,775.478,0.95012,0.85897,1.25562,0.6268,0.6517,0.66888,0.45939,1.06146,0.77536,1.38852,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,1024.07,0.94953,0.85454,1.25193,0.6739,0.64822,0.67893,0.46041,1.05172,0.77193,1.3785,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,1271.07,0.9458,0.85442,1.24954,0.6463,0.66807,0.6735,0.46355,1.04669,0.77098,1.38043,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,1515.41,0.93335,0.83109,1.24237,0.62655,0.65404,0.66665,0.46082,1.04625,0.77287,1.37464,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,1761,0.92756,0.81782,1.23669,0.64899,0.67736,0.6832,0.47143,1.03327,0.75737,1.36472,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,257.343,0.88283,0.75713,1.21037,0.6322,0.67577,0.68484,0.47108,1.03841,0.75015,1.36611,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,493.849,0.87799,0.74772,1.20274,0.64932,0.6615,0.68408,0.46795,1.04681,0.76605,1.36783,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,730.038,0.86251,0.72438,1.19828,0.61305,0.66006,0.67874,0.47211,1.02975,0.74812,1.36097,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
